month,fixedIncome,variableIncome,fixedExpenses,variableExpenses,ing,bbva,revolut,directa,mwrd,smea,xmme,bond,cometa,eth,sol,link,op,usdt,ethPrice,solPrice,linkPrice,opPrice,mwrdPrice,smeaPrice,xmmePrice
1/1/2023,2770.00,449.00,2047.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
2/1/2023,2600.00,236.00,2524.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
3/1/2023,2606.00,651.00,2461.00,0.00,67535.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8667.94,0.00,0.00,0.00,0.00,0.00,,,,,,,
4/1/2023,2930.00,476.00,3272.00,0.00,52669.80,0.00,0.00,14500.00,4.00,0.00,2.00,0.00,8667.94,11.90,0.00,0.00,0.00,15350.00,,,,,,,
5/1/2023,3303.00,3971.00,1498.00,0.00,58446.00,0.00,31.88,13.56,132.00,0.00,67.00,0.00,8667.94,11.90,0.00,0.00,0.00,15350.00,,,,,,,
6/1/2023,3578.00,1092.00,1350.00,0.00,59267.00,0.00,32.00,87.00,153.00,0.00,76.00,0.00,8667.94,11.90,0.00,0.00,0.00,15350.00,,,,,,,
7/1/2023,2990.00,957.00,2002.00,0.00,60372.00,0.00,9.00,2.68,153.00,0.00,76.00,0.00,8667.94,11.90,0.00,0.00,0.00,15350.00,,,,,,,
8/1/2023,2995.00,208.00,3233.00,0.00,59272.00,0.00,4.20,41.58,153.00,14.00,76.00,0.00,9542.85,11.90,0.00,346.00,0.00,15350.00,,,,,,,
9/1/2023,141.00,3301.00,1818.00,0.00,15396.00,0.00,139.00,65.00,153.00,21.00,76.00,0.00,9574.00,13.68,0.00,346.00,0.00,12473.00,,,,,,,
10/1/2023,2957.00,429.00,1857.00,0.00,12145.00,4965.00,85.00,65.00,153.00,21.00,76.00,0.00,9574.00,14.00,78.00,346.00,0.00,10000.00,,,,,,,
11/1/2023,2951.00,537.00,2295.80,0.00,12145.00,4989.88,66.00,26.00,162.00,29.00,81.00,0.00,10870.00,14.00,78.00,346.00,395.00,10000.00,,,,,,,
12/1/2023,5970.00,668.00,1356.00,0.00,17765.00,4999.00,207.00,34.00,162.00,36.00,81.00,0.00,10870.00,14.00,78.00,346.00,395.00,10000.00,,,,,,,
1/1/2024,3675.00,3.00,1088.44,0.00,1001.34,22533.42,22.78,44.31,162.00,53.00,81.00,0.00,11204.00,14.00,90.00,361.00,395.00,8991.00,,,,,,,
2/1/2024,2948.00,135.00,918.00,0.00,1001.00,24064.42,143.00,18.82,162.00,67.00,81.00,0.00,12810.00,14.00,90.00,361.00,395.00,8991.00,,,,,,,
3/1/2024,3094.00,354.00,1050.00,0.00,999.54,25051.97,47.00,34.00,162.00,80.00,81.00,0.00,13043.00,14.50,90.00,361.00,395.00,7868.00,,,,,,,
4/1/2024,2900.00,57.00,961.00,0.00,800.00,26333.00,40.00,111.00,162.00,106.00,81.00,0.00,13313.00,15.00,90.00,361.00,395.00,6341.80,,,,,,,
5/1/2024,2889.00,59.00,842.00,0.00,958.00,26853.77,40.00,0.00,162.00,106.00,81.00,0.00,14381.00,15.00,90.00,361.00,395.00,6341.80,,,,,,,
6/1/2024,2886.00,399.00,670.00,0.00,958.00,31746.00,40.00,0.00,162.00,118.00,81.00,0.00,14381.00,15.50,90.00,361.00,395.00,4661.80,,,,,,,
7/1/2024,5934.00,63.00,1071.00,0.00,909.00,36680.00,20.00,18.00,162.00,131.00,81.00,0.00,14915.00,15.50,90.00,361.00,395.00,4661.80,,,,,,,
8/1/2024,6644.00,78.00,1425.00,0.00,1000.00,37297.00,20.00,18.00,162.00,144.00,81.00,0.00,14915.00,16.50,90.00,361.00,395.00,2261.00,,,,,,,
9/1/2024,3247.00,419.00,950.00,0.00,1000.00,84608.00,20.00,18.00,162.00,151.00,81.00,0.00,14915.00,16.50,90.00,361.00,395.00,2261.00,,,,,,,
10/1/2024,0.00,155.00,820.00,0.00,807.00,81878.00,6.00,15.00,164.00,185.00,98.00,0.00,16986.00,16.50,90.00,361.00,395.00,2261.00,,,,,,,
11/1/2024,689.00,209.00,709.00,0.00,1000.00,80682.00,6.00,8.00,166.00,185.00,98.00,0.00,18270.00,16.50,90.00,361.00,395.00,2261.00,,,,,,,
12/1/2024,4055.00,197.00,2782.00,0.00,1000.00,81886.00,468.00,8.00,166.00,157.00,81.00,0.00,22790.81,16.50,90.00,361.00,395.00,2261.00,,,,,,,
1/1/2025,2949.00,0.00,296.00,663.66,0.00,83885.00,65.00,66.00,170.00,165.00,85.00,0.00,22572.00,16.50,90.00,361.00,395.00,2261.00,,,,,,,
2/1/2025,3485.00,205.00,431.00,550.00,0.00,85437.00,0.00,0.00,170.00,165.00,85.00,0.00,23000.00,16.50,90.00,361.00,395.00,2261.00,,,,,,,
3/1/2025,3204.00,130.00,287.00,592.00,0.00,86923.00,0.00,0.00,174.00,169.00,87.00,0.00,24748.00,16.50,90.00,361.00,395.00,2261.00,,,,,,,
4/1/2025,3225.00,132.00,431.00,1256.00,0.00,87303.00,0.00,0.00,179.00,174.00,90.00,0.00,23939.00,17.90,90.00,361.00,395.00,0.00,,,,,,,
