month,fixedIncome,variableIncome,fixedExpenses,variableExpenses,ing,bbva,revolut,directa,mwrd,smea,xmme,bond,cometa,eth,sol,link,op,usdt,ethPrice,solPrice,linkPrice,opPrice,mwrdPrice,smeaPrice,xmmePrice
Jan 2023,2770.00,449.00,2047.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1460.5612921724,22.0506666747,6.4002810127,1.9972388455,0.00,0.00,0.00
Feb 2023,2600.00,236.00,2524.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1518.3561813201,20.7217024404,6.8006150015,2.5528270434,0.00,0.00,0.00
Mar 2023,2606.00,651.00,2461.00,0.00,67535.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8667.94,0.00,0.00,0.00,0.00,0.00,1676.57920291,19.4805615821,6.988332095,2.1040799951,0.00,0.00,0.00
Apr 2023,2930.00,476.00,3272.00,0.00,52669.80,0.00,0.00,14500.00,30.00,0.00,2.00,0.00,8667.94,11.90,0.00,0.00,0.00,15350.00,1704.6226737579,20.736034664,6.4047041484,1.9758617694,13.29,75.80,43.80
May 2023,3303.00,3971.00,1498.00,0.00,58446.00,0.00,31.88,13.56,893.00,0.00,67.00,0.00,8667.94,11.90,0.00,0.00,0.00,15350.00,1752.5912023583,19.4740127542,6.0598546357,1.295089278,13.24,76.20,44.20
Jun 2023,3578.00,1092.00,1350.00,0.00,59267.00,0.00,32.00,87.00,1037.00,0.00,76.00,0.00,8667.94,11.90,0.00,0.00,0.00,15350.00,1770.8977671584,17.3108910872,5.7788593629,1.2196854716,13.63,77.50,45.10
Jul 2023,2990.00,957.00,2002.00,0.00,60372.00,0.00,9.00,2.68,1037.00,0.00,76.00,0.00,8667.94,11.90,0.00,0.00,0.00,15350.00,1687.6747718356,21.5677579449,6.8598325242,1.4686017808,14.14,78.40,46.90
Aug 2023,2995.00,208.00,3233.00,0.00,59272.00,0.00,4.20,41.58,1037.00,14.00,76.00,0.00,9542.85,11.90,0.00,346.00,0.00,15350.00,1517.4948511751,18.1983403977,5.4179777843,1.2830776041,14.44,76.30,45.20
Sep 2023,141.00,3301.00,1818.00,0.00,15396.00,45000.00,139.00,65.00,1037.00,21.00,76.00,0.00,9574.00,13.68,0.00,346.00,0.00,12473.00,1579.4985858465,20.2216229015,7.7322646107,1.2725320453,14.34,75.10,44.50
Oct 2023,2957.00,429.00,1857.00,0.00,12145.00,49965.00,85.00,65.00,1037.00,21.00,76.00,0.00,9574.00,14.00,78.00,346.00,0.00,10000.00,1717.1167927885,36.4128843458,10.7529272411,1.3191521164,14.08,72.40,43.10
